data_type;site;lat_dd;lon_dd;datum;precision;date;day;month;year;period;position;habitat;trans_n;sampleID;depth_max;depth_min;temp_c;visi_vert;visi_hor;taxon;cat_tax;group;kingdom;phylum;class;order;family;AphiaID;abund;sample_config;area_m2
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;11;03;2020;morning;Rebio Arvoredo;rocky_shore;3;DE_T3_20200311;12;6;23.5;8;9;Bunodosoma_caissarum;Species;Anêmona;Animalia;Cnidaria;Anthozoa;Actiniaria;Actiniidae;283408;0;20m_x_2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;11;03;2020;morning;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;12;6;23.5;8;9;Actinostella_flosculifera;Species;Anêmona;Animalia;Cnidaria;Anthozoa;Actiniaria;Actiniidae;289355;0;20m_x_2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;11;03;2020;morning;Rebio Arvoredo;rocky_shore;2;DE_T2_20200311;12;6;23.5;8;9;Actinostella_flosculifera;Species;Anêmona;Animalia;Cnidaria;Anthozoa;Actiniaria;Actiniidae;289355;0;20m_x_2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;11;03;2020;morning;Rebio Arvoredo;rocky_shore;3;DE_T3_20200311;12;6;23.5;8;9;Actinostella_flosculifera;Species;Anêmona;Animalia;Cnidaria;Anthozoa;Actiniaria;Actiniidae;289355;0;20m_x_2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;11;03;2020;morning;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;12;6;23.5;8;9;Schizoporella_errata;Species;Species_exótica;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Schizoporellidae;111527;0;20m_x_2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;11;03;2020;morning;Rebio Arvoredo;rocky_shore;2;DE_T2_20200311;12;6;23.5;8;9;Schizoporella_errata;Species;Species_exótica;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Schizoporellidae;111527;0;20m_x_2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;11;03;2020;morning;Rebio Arvoredo;rocky_shore;3;DE_T3_20200311;12;6;23.5;8;9;Schizoporella_errata;Species;Species_exótica;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Schizoporellidae;111527;0;20m_x_2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;11;03;2020;morning;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;12;6;23.5;8;9;Leptogorgia_punicea;Species;Gorgônia;Animalia;Cnidaria;Anthozoa;Alcyonacea;Gorgoniidae;418859;6;20m_x_2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;11;03;2020;morning;Rebio Arvoredo;rocky_shore;2;DE_T2_20200311;12;6;23.5;8;9;Leptogorgia_punicea;Species;Gorgônia;Animalia;Cnidaria;Anthozoa;Alcyonacea;Gorgoniidae;418859;4;20m_x_2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;11;03;2020;morning;Rebio Arvoredo;rocky_shore;3;DE_T3_20200311;12;6;23.5;8;9;Leptogorgia_punicea;Species;Gorgônia;Animalia;Cnidaria;Anthozoa;Alcyonacea;Gorgoniidae;418859;9;20m_x_2m;40
