tipo_de_dado;sitio;lat_dd;lon_dd;datum;precisao;Data;Periodo;posicao;amb;trans_n;prof_max;prof_min;temp_c;visi_vert;visi_hor;cat_tax;Grupo;Reino;Táxon;abund;sample_config;area_m2
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;3;16;12;23.5;8;9;Species;Ouriço;Animal;Lytechinus variegatus;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;1;16;12;23.5;8;9;Species;Ouriço;Animal;Arbacia lixula;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;2;16;12;23.5;8;9;Species;Ouriço;Animal;Arbacia lixula;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;3;16;12;23.5;8;9;Species;Ouriço;Animal;Arbacia lixula;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;1;16;12;23.5;8;9;Species;Ouriço;Animal;Paracentrotus gaimardi;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;2;16;12;23.5;8;9;Species;Ouriço;Animal;Paracentrotus gaimardi;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;3;16;12;23.5;8;9;Species;Ouriço;Animal;Paracentrotus gaimardi;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;1;16;12;23.5;8;9;Species;Ouriço;Animal;Echinometra luchunter;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;2;16;12;23.5;8;9;Species;Ouriço;Animal;Echinometra luchunter;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Banco de Rodolito;3;16;12;23.5;8;9;Species;Ouriço;Animal;Echinometra luchunter;0;20m x 2m;40
